Indonesia,bali
abadi,abadi
abang,nyama muani
abdi,parekan
abu,abu
ada,Wénten
adalah,adalah
adil,adil
agama,agama
agar,mangda
agung,melah pesan
air,yéh
ajar,ngajain
akan,lakar
akhir,pamuput
aku,Tiang
alam,alami
alat,alat
anak,raré
anda,Ragane
angkat,ngangkat
antar,antara
apa,Napi
api,api
arah,arah mejalan
asal,asalné
atas,ring
atur,set
awal,pamulaan
ayah,Bapa
badan,awak
bagi,untuk
bahagia,bagia
bahasa,Basa
baik,Becik
baju,baju rok lantang
bakar,makar
bali,Bali
bambu,bambu
bangsa,bangsa
bangun,metangi
barang,akéh barang
baru,anyar
basa,basa
batas,wates
batu,batu
bawa,ngaba
bayar,mayah
bawah,lebih éndép
beda,lén
besar,gedé
betul,punika patut
biar,depang
bijak,wicaksana
bikin,ngaé
bisa,Bise
buku,buku
bulan,bulan
bunga,bunga
bunyi,munyi
burung,kedis
adat adat istiadat,adat tradisi
adil,adil
agama,agama
agen,agén
agensi,agénsi
agung,melah pesan
air,yéh
ajar,ngajain
akan,lakar
akar,akah
akhir,pamuput
akrab,akrab
aksi,aksi
aktif,aktip
aktor,aktor
aku,TIANG
akun,akun
akurat,beneh gati
alam,alami
alamat,alamat
alat,alat
alir,aliran
Allah,Allah
aman,aman
ambil,nyemak
ambisi,ambisi
amplop,amplop
anak,raré
ancaman,anceman
Anda,Ragane
aneh,Solih
anggota,anggota
anggur,anggur
angin,angin
angka,nomer
angkasa,ruang
angkuh,sombong
anjing,kuluk
antusias,mase semangat pesan
anugerah,sih pasuecan
apa,Napi
apartemen,apartemén
apel,apel
api,api
aplikasi,aplikasi
arah,arah mejalan
arti,maksudné
artikel,artikel
asal,asalné
asam,masem
asap,asep
asin,asin
asing,sing dikenal
asyik,seru
atap,raab
atas,ring
atas,ring baduur
atau,utawi
atraksi,objek wisata
atur,ngatur
awal,pamulaan
awan,awan
ayah,Bapa
ayam,buron siap
ayun,ayunan
ayat,ayat
babi,céléng
baca,mace
badai,bakungan
bagaimana,Kénkén
bagi,untuk
bagi,anggén
bagus,Becik
bahagia,bagia
bahan,bahan
bahasa,Basa
bahaya,bahaya
bahkan,bahkan
bahu,pala
baik,Becik
baja,waja
baju,baju rok lantang
bakar,makar
baki,talam
balas,balesan
bangga,bangga
bangkit,menék
bangkrut,bangkrut
bangsa,bangsa
bangun,metangi
banjir,blabar
bank,bank
bantal,bantal
barat,kauh
barel,tong
baris,garis
baru,anyar
basah,belus
basis,dasar
bata,citakan
batas,wates
batu,batu
batuk,kokoan
bau,boné
baut,baut
bawah,lebih éndép
bawah,ring sor
bayi,raré mare lekad
bebas,bébas
bebek,bebek
bekas,lad manggo
kerja,makarya
ajar,ngajahin malajah
belanga,panci
beli,meli
benak,keneh
benang,benang
benar,Betul
benci,sing demen gati
bendera,bendera
bengkak,beseh
bengkok,bengkot
benih,benih
bentuk,bentuk
pergi,lunga
beranak,ngembasang
berani,bani
berantakan,nénten rapi
arti,teges
berat,baat
baring,merem
beda,lén
baris,garis
belok,pengkolan
bicara,nutur
bisik,bisik-bisik
bohong,Sing jujur
buru,mai énggalin
dagang,madagang
darah,getih
diri,iba
doa,pangastawa
renang,ngelangi
gairah,rasa seneng pesan
gerak,gerakan
gulung,ngulung
harga,harga
hasil,liu hasil
henti,setop
hubung,sambungan
hutang,utang
beri,ngemaang
iklan,iklan
ikut,ngikutin
berisik,uyut
istirahat,Marérén
berita,gatra
jalan,margi
kelahi,magerengan
kembang,bunga
keringat,peluh
lari,melaib
latih,ngelatih
layar,tumbuh tumbuh
beruang,nahan
untung beruntung,aget aget
besar,gedé
besi,besi
betul,saje
biarkan,ngiring
biasa,normal
biaya,béa
bibi,bibik
bibir,bibih
bicara,nutur
bidang,lapangan
bijak,wicaksana
bilah,tiuk
bilangan,nomer
binatang,buron
bingkai,bingkai
bingung,Paling
bintang,bintang
bintik,bintik-bintik
biri-biri,domba
biru,pelung
bis,bis
bisa,Bise
bisnis,bisnis
bobot,baatné
bobrok,usak
bodoh,lengeh
bola,bola
boleh,Nggih
bos,bos
botol,botol
brankas,aman
brengsek,angsuh
brutal,kasar
bruto,romon
buah,buah
buat,untuk
bubuk,bubuk
budak,budak
buka,mabuka
bukan,Ten
bukit,bukit
bukti,bukti
buku,buku
bulan,bulan
bulat,ronde
bulu,bok
bumi,gumi
bunga,bunga
buru-buru,digelis
buruk,jelé
burung,kedis
busuk,bosok
busur,busur
buta,buta
cabang,cabang
cacat,cacat
cacing,uled
cadang,cadangan
cahaya,terang
cair,cairan
cakrawala,cakrawala
cambuk,cambuk
campur,campur
campur,campur
candu,candu
canggung,kabibil
cangkang,kulit katos
cangkir,cangkir
cantik,Jegég
cara,metode
cari,ngalih
cat,ngecét
catat,catetan
celah,kasenjangan
